英文标准词	采用中文	译名状态	依据	定位	编辑说明
Deredeo Pattern Dreadnought	德雷都型无畏机甲	暂定·官方待核	所给英文底稿	1453	沿原稿型号名。
Lucifer Pattern Dreadnought	路西法型无畏机甲	暂定·官方待核	所给英文底稿	1454	沿原稿；区别同名人物。
Leviathan pattern Siege Dreadnought	利维坦型攻城无畏机甲	暂定·官方待核	所给英文底稿	1455	沿原稿；区别同名虫巢舰队和陆地载具。
Helical Targeting Array	螺旋瞄准阵列	暂定·官方待核	所给英文底稿	1452—1453	统一同一装备名。
Aiolos missile launcher	埃俄罗斯导弹发射器	暂定·官方待核	所给英文底稿	1453	沿原稿暂定。
Adrathic destructor	遗迹破坏炮	暂定·官方待核	所给英文底稿	1452	沿原稿暂定，完整型号待核，不从字面推导器件。
Dire Wolf Heavy Scout Titan	恐狼重型侦察泰坦	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Warmaster Iconoclast Titan	战帅圣像破坏者泰坦	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Phantom Battle Titan	幻影战斗泰坦	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Revenant Scout Titan	亡魂侦察泰坦	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Shadow Stalker Titan	暗影追猎者泰坦	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Megalith	巨石	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Æonic Orb	永恒之球	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Abattoir	屠宰场	暂定·官方待核	所给英文底稿	篇1456	沿原稿暂定；本行限相应泰坦型号，不扩用于同名武器或其他实体。
Jetbike	喷气摩托	暂定·官方待核	所给英文底稿	篇1457—1459	沿官方晨鹰喷气摩托词根统一；反重力技术不改写为喷气推进。
Atlan-class dirtcycle	阿塔兰级越野摩托	暂定·官方待核	所给英文底稿	篇1457—1459	英文Atlan与Atalan疑似异拼，保留英文，中文沿同段现稿。
Raider Pattern Combat Bike	突袭者型战斗摩托	暂定·官方待核	所给英文底稿	篇1457—1459	沿原稿型号。
Scimitar Pattern Jetbike	弯刀型喷气摩托	暂定·官方待核	所给英文底稿	篇1457—1459	沿原稿。
Gyrfalcon Pattern Jetbike	矛隼型喷气摩托	暂定·官方待核	所给英文底稿	篇1457—1459	沿原稿。
Dawneagle Pattern Jetbike	晨鹰型喷气摩托	暂定·官方待核	所给英文底稿	篇1457—1459	依据官方完整人员单位词根，全车型暂定。
Erinyes Pattern	厄里倪厄斯型	暂定·官方待核	所给英文底稿	篇1457—1459	寂静修女喷气摩托。
Rumbler bike	隆音摩托	暂定·官方待核	所给英文底稿	篇1457—1459	沿原稿法务部车型。
Atalan Jackals	阿塔兰豺狼摩托手	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	均第22页	直接核读中英单位表，单数同兵种；非所有教派侦骑泛称。
Invader ATV	入侵者全地形车	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读中英单位表；两版条目名称对应。
Land Speeder Tornado	狂风型兰德速攻艇	暂定·官方待核	所给英文底稿	篇1461	沿原稿狂风，区别Typhoon台风及Storm风暴。
Land Speeder Typhoon	台风型兰德速攻艇	暂定·官方待核	所给英文底稿	篇1461	沿原稿。
Land Speeder Tempest	暴风型兰德速攻艇	暂定·官方待核	所给英文底稿	篇1461	沿原稿。
Land Speeder Storm	风暴型兰德速攻艇	暂定·官方待核	所给英文底稿	篇1461	沿原稿。
Sableclaw	黑爪号	暂定·官方待核	所给英文底稿	篇1461	萨麦尔座驾；沿原稿并加载具号。
Spectral Nine	幽影九号	暂定·官方待核	所给英文底稿	篇1461	沿323篇同一星辰幻影速攻艇。
Jegun	杰根	暂定·官方待核	所给英文底稿	篇1461	白疤老兵军士。
Jegun's Avengers	杰根复仇者	暂定·官方待核	所给英文底稿	篇1461	白疤中队。
Sextus pattern	塞克斯图斯型	暂定·官方待核	所给英文底稿	篇1461	导弹发射器型号。
Merrett pattern	梅雷特型	暂定·官方待核	所给英文底稿	篇1461	传感器型号。
Stone Guardians	石像守卫	暂定·官方待核	所给英文底稿	篇1462—1464	黑幕飞艇承载的卡利班石像。
Ten Brothers of the Order	骑士团十兄弟	暂定·官方待核	所给英文底稿	篇1462—1464	同组石像别称，非十名现役禁军。
Vendetta Campaign	仇杀战役	暂定·官方待核	所给英文底稿	篇1462—1464	沿原稿词根。
Shadow of Caliban	卡利班阴影号	暂定·官方待核	所给英文底稿	篇1462—1464	黑幕飞艇名。
Javelin Attack Speeder	标枪突击艇	暂定·官方待核	所给英文底稿	篇1462—1464	沿本篇标题，统一正文攻击艇变体。
Kyzagan Assault Speeder	凯扎根突击艇	暂定·官方待核	所给英文底稿	篇1462—1464	沿原稿。
Liber Armorum	《装甲之书》	暂定·官方待核	所给英文底稿	篇1465	沿本篇既有书名，未核官方。
Torben's World	托尔本世界	暂定·官方待核	所给英文底稿	篇1465	沿原稿地点。
Rhino Primaris	尖峰犀牛	暂定·官方待核	所给英文底稿	篇1465	沿原稿专车型，不与原铸星际战士的Primaris自动等同。
Abductor-pattern Rhino	劫持者型犀牛	暂定·官方待核	所给英文底稿	篇1465	法务部囚犯运输车型。
Castigator Crowd Control Vehicle	斥责者人群控制载具	暂定·官方待核	所给英文底稿	篇1465	沿本稿法务部车型，区别修女会惩戒者坦克。
Legatus-pattern command Rhino	使节型指挥犀牛	暂定·官方待核	所给英文底稿	篇1465	沿本稿。
MkIII Recovery Vehicle	MkIII抢修车	暂定·官方待核	所给英文底稿	篇1465	按故障载具回收救援任务译；非废料回收。
Gloriam	荣耀号	暂定·官方待核	所给英文底稿	篇1465	沿较早449篇同一犀牛名；1465原译辉煌号作别名。
Maximus (Howling Griffons squad)	马克西姆斯	暂定·官方待核	所给英文底稿	篇1466—1472	咆哮狮鹫第5连战术小队名。
Fulmen	闪电号	暂定·官方待核	所给英文底稿	篇1466—1472	新星战士犀牛；区别辉脊Fulmentarus。
Strike Force Nerva	涅尔瓦打击部队	暂定·官方待核	所给英文底稿	篇1466—1472	沿原稿。
Ulrich Ryssel	乌尔里希·赖塞尔	暂定·官方待核	所给英文底稿	篇1466—1472	GW员工名暂沿原稿。
Siege of Devlin's Fastness	德夫林要塞围城战	暂定·官方待核	所给英文底稿	篇1466—1472	沿原稿。
Porphetus	波菲图斯	暂定·官方待核	所给英文底稿	篇1466—1472	沿原稿铸造世界。
Rhino Advancer	推进犀牛	暂定·官方待核	所给英文底稿	篇1466—1472	沿1470标题统一原正文“犀牛装甲推进者”。
Castellan Rhino	堡主犀牛	暂定·官方待核	所给英文底稿	篇1466—1472	沿原稿。
Medical Rhino	医疗犀牛	暂定·官方待核	所给英文底稿	篇1466—1472	沿原稿。
Purity of Will	意志纯净号	暂定·官方待核	所给英文底稿	篇1466—1472	医疗犀牛名。
Techmarine Rhino	科技战士犀牛	暂定·官方待核	所给英文底稿	篇1473—1474	依官译职衔科技战士；完整车型暂定。
Iron Priest Rhino	钢铁牧师犀牛	暂定·官方待核	所给英文底稿	篇1473—1474	太空野狼称呼。
Magna-beam Searchlight	巨束探照灯	暂定·官方待核	所给英文底稿	篇1473—1474	原大光束探照灯，按武器强光用途润色，非官译。
Crusher Claw	粉碎爪	暂定·官方待核	所给英文底稿	篇1473—1474	科技战士犀牛维修机械臂。
Ian Pickstock	伊恩·皮克斯托克	暂定·官方待核	所给英文底稿	篇1473—1474	沿原稿。
Damocles Command Rhino	达摩克利斯指挥犀牛	暂定·官方待核	所给英文底稿	篇1473—1474	统一核心Damocles词根；原标题达摩克里斯。
Calvus (Rhino)	卡尔弗斯号	暂定·官方待核	所给英文底稿	篇1473—1474	银色颅骨指挥犀牛。
Armoured Razorback	装甲豪猪	暂定·官方待核	所给英文底稿	篇1475	沿原稿特定改装车型名。
Infernum Pattern Razorback	炼狱型豪猪战车	暂定·官方待核	所给英文底稿	篇1475	沿原稿。
M.38-pattern Deathreaper lascannon	M.38型死亡收割者激光炮	暂定·官方待核	所给英文底稿	篇1475	沿原稿，型号全称待核。
M'Lell	姆’莱尔	暂定·官方待核	所给英文底稿	篇1475	火星至高贤者。
Deliverance of Vulgate	沃尔盖特救援之战	暂定·官方待核	所给英文底稿	篇1475	沿845篇既定战役名。
Stalker Air Defence Vehicle	追猎者防空车	暂定·官方待核	所给英文底稿	篇1476—1477	沿原稿，车型暂定。
Hunter Anti-aircraft Missile Vehicle	猎手防空导弹车	暂定·官方待核	所给英文底稿	篇1476—1477	沿原稿。
skyspear savant missile	天矛智者导弹	暂定·官方待核	所给英文底稿	篇1476—1477	由生体制导的弹药类别；原专家导弹，暂定待核。
Dorn's Skyhammer	多恩天锤号	暂定·官方待核	所给英文底稿	篇1476—1477	帝国之拳猎手车辆名。
Hunter Multi-Launcher	猎手多管发射车	暂定·官方待核	所给英文底稿	篇1476—1477	指整车而非一座独立发射器。
Armoured Supply Carrier	装甲补给运输车	暂定·官方待核	所给英文底稿	篇1478	沿原稿，简称ASC。
Armoured Supply Crawler	装甲补给履带车	暂定·官方待核	所给英文底稿	篇1478	同车型别称。
Fornost	福诺斯特	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿工厂世界名。
Fornosian Accords	《福诺西安协议》	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿名称。
Morben the Devout	虔诚者莫尔本	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿人物。
Sanctis pattern	神圣型	暂定·官方待核	所给英文底稿	篇1479—1480	献祭者双联重型爆矢枪变体。
Justice pattern	正义型	暂定·官方待核	所给英文底稿	篇1479—1480	献祭者双联多管热熔变体。
Immolation Flamer	献祭火焰喷射器	暂定·官方待核	所给英文底稿	篇1479—1480	火焰武器全称待核。
Repressor	镇压者装甲车	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿车型。
Avignor Uprising	阿维诺起义	暂定·官方待核	所给英文底稿	篇1479—1480	沿核心阿维诺词根。
Synod Prioris	首席教务会议	暂定·官方待核	所给英文底稿	篇1479—1480	本处指国教会议，暂定。
Potence	波腾斯	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿世界名。
Laud Hailer	圣歌扬声器	暂定·官方待核	所给英文底稿	篇1479—1480	按装备功能暂译。
Dominica II	多米尼卡二号	暂定·官方待核	所给英文底稿	篇1479—1480	沿原稿产地。
Storm Speeder Hailstrike	冰雹型风暴速攻艇	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文33页/GW10英文32页	直接核读中英同名单位表；两版本点数不据作配对依据。
Storm Speeder Hammerstrike	锤击型风暴速攻艇	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文33页/GW10英文32页	直接核读中英同名单位表；两版本点数不据作配对依据。
Storm Speeder Thunderstrike	雷霆型风暴速攻艇	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文33页/GW10英文32页	直接核读中英同名单位表；两版本点数不据作配对依据。
Thunderstrike Las-Talon	雷霆激光爪	暂定·官方待核	所给英文底稿	1484	依官方雷霆型车型词根暂定武器全称；原雷击激光爪。
Grav-Rhino	反重力犀牛	暂定·官方待核	所给英文底稿	1482	沿原稿。
Admonisher	告诫者	暂定·官方待核	所给英文底稿	1481	法务部敞顶犀牛变体。
Spartan Assault Tank	斯巴达突击坦克	暂定·官方待核	所给英文底稿	篇1485—1486	沿原稿。
Ring of Death	死亡之环	暂定·官方待核	所给英文底稿	篇1485—1486	火星白羊座主城周围防御带。
Aries Primus	白羊座主城	暂定·官方待核	所给英文底稿	篇1485—1486	沿原稿，英文明确city而非星座。
Gorgon (transport vehicle)	戈尔贡运输车	暂定·官方待核	所给英文底稿	篇1485—1486	区别美杜莎Medusa车型；全称暂定。
Sire of Calth	考斯之爵号	暂定·官方待核	所给英文底稿	篇1485—1486	极限战士斯巴达名。
Tombkeeper (Spartan)	守墓人号	暂定·官方待核	所给英文底稿	篇1485—1486	死亡守卫斯巴达名。
Black Gorge	黑峡谷	暂定·官方待核	所给英文底稿	篇1485—1486	军刀战例中的裂谷，非桥名。
Cerberus Heavy Tank Destroyer	三头犬重型坦克歼击车	暂定·官方待核	所给英文底稿	1487	沿原稿。
Deep Hyades-VI	深层希亚德斯六号	暂定·官方待核	所给英文底稿	1487	原译许阿得斯五号深处，修正数字；与一般Hyades不确认同物。
Choronzan	科伦赞号	暂定·官方待核	所给英文底稿	1487	驱魔者三头犬车型名。
Vern IV	弗恩四号	暂定·官方待核	所给英文底稿	篇1488	死亡幽灵攻势地点。
Belsarius Fury	贝利撒留狂怒号	暂定·官方待核	所给英文底稿	篇1488	按源文拼写保留；不与Belisarius Cawl同名推定。
Harbinger of Death (Predator)	死亡预兆号	暂定·官方待核	所给英文底稿	篇1488	曙光女神坦克。
Goru Heresy	戈鲁叛乱	暂定·官方待核	所给英文底稿	篇1488	沿原稿。
Skarath Crusade	斯卡拉特远征	暂定·官方待核	所给英文底稿	篇1488	沿原稿。
Deus Annihilatus	毁灭之神号	暂定·官方待核	所给英文底稿	篇1488	猛禽坦克。
Endurus	忍耐号	暂定·官方待核	所给英文底稿	篇1488	谩骂者坦克。
Molov Massacre	莫洛夫屠杀	暂定·官方待核	所给英文底稿	篇1488	沿原稿。
Infernal Relic Predator	炼狱圣物掠食者	暂定·官方待核	所给英文底稿	篇1488	原废墟错译；完整型号暂定。
Atium III	阿提姆三号	暂定·官方待核	所给英文底稿	篇1489—1490	沿原稿。
Lord de Ladt	德拉特领主	暂定·官方待核	所给英文底稿	篇1489—1490	大科技异端，沿原稿人名。
Lucifer Pattern Thermic Combustor Engine	路西法型热燃烧引擎	暂定·官方待核	所给英文底稿	篇1489—1490	沿原稿，区别同名无畏机甲。
Blood Brother (Baal Predator)	血之兄弟号	暂定·官方待核	所给英文底稿	篇1489—1490	鲜血天使坦克。
Deimos Pattern Predator	迪莫斯型掠食者	暂定·官方待核	所给英文底稿	篇1489—1490	按既定迪莫斯词根统一。
Deimos Pattern Predator Infernus	迪莫斯型炼狱掠食者	暂定·官方待核	所给英文底稿	篇1489—1490	沿原稿，统一型号语序。
Deimos Pattern Predator Executioner	迪莫斯型处决者掠食者	暂定·官方待核	所给英文底稿	篇1489—1490	沿同书Executioner武器词根暂用处决者；非完整车型官方核对。
Executioner Plasma Destroyer	处决者等离子毁灭炮	暂定·官方待核	所给英文底稿	篇1489—1490	同车型主武器，完整名暂定。
Gladiator Lancer	枪骑型角斗士战车	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读中英单位表，原稿分别枪骑兵、收割者、勇士。
Gladiator Reaper	死神型角斗士战车	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读中英单位表，原稿分别枪骑兵、收割者、勇士。
Gladiator Valiant	豪侠型角斗士战车	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读中英单位表，原稿分别枪骑兵、收割者、勇士。
Mauler Battle Tank	粉碎者战斗坦克	暂定·官方待核	所给英文底稿	1495	沿原稿，勿与Maulerfiend重拳恶魔混同。
Thunder of Horus	荷鲁斯之雷号	暂定·官方待核	所给英文底稿	1495	荷鲁斯之子粉碎者坦克名。
Sicaran Battle Tank	西卡然战斗坦克	暂定·官方待核	所给英文底稿	篇1496	沿原稿。
Sicaran Venator	西卡然猎手	暂定·官方待核	所给英文底稿	篇1496	坦克歼击变体，区别其他Hunter车型。
Sicaran Punisher	西卡然惩罚者	暂定·官方待核	所给英文底稿	篇1496	沿原稿。
Sicaran Arcus	西卡然长弓	暂定·官方待核	所给英文底稿	篇1496	沿原稿。
Sicaran Omega	西卡然欧米伽	暂定·官方待核	所给英文底稿	篇1496	沿原稿。
Neutron-Flux Warhead	中子通量弹头	暂定·官方待核	所给英文底稿	篇1496	沿原稿。
Heritor of Gage	盖奇后裔号	暂定·官方待核	所给英文底稿	篇1496	极限战士西卡然名。
Hero of Kryrenia	克里尼亚英雄号	暂定·官方待核	所给英文底稿	篇1496	黑色圣堂西卡然名。
Morkai's Roar	莫凯咆哮号	暂定·官方待核	所给英文底稿	篇1496	西卡然长弓名。
Kratos Battle Tank	奎托斯战斗坦克	暂定·官方待核	所给英文底稿	篇1497—1498	沿原稿。
Malcador Battle Tank	马卡多战斗坦克	暂定·官方待核	所给英文底稿	篇1497—1498	沿原稿，区别人物。
M’Khand Secundus	姆'坎德二号	暂定·官方待核	所给英文底稿	篇1497—1498	按核心M’khand词根；源文撇号拼法保持。
Malcador Annihilator	马卡多歼灭者	暂定·官方待核	所给英文底稿	篇1497—1498	沿原稿。
Malcador Defender	马卡多防御者	暂定·官方待核	所给英文底稿	篇1497—1498	沿原稿。
Malcador Infernus	马卡多炼狱	暂定·官方待核	所给英文底稿	篇1497—1498	沿原稿。
Malcador Vanquisher	马卡多胜利者	暂定·官方待核	所给英文底稿	篇1497—1498	参考官方其他车型相同词根；完整名暂定。
Vanquisher Battlecannon	胜利者战斗炮	暂定·官方待核	所给英文底稿	篇1497—1498	同车型主炮，完整武器名暂定。
Land Raider Crusader	十字军型兰德掠袭者战车	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读同名单位表。
Siege of Delebrion	德莱布里翁围城战	暂定·官方待核	所给英文底稿	篇1500	沿原稿。
Calysto Platinum	卡利斯托铂金	暂定·官方待核	所给英文底稿	篇1500	沿原稿地点名，未据Platinum判断矿产性质。
Land Raider Anvilarum	铁砧型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1500	沿原稿铁砧暂定。
Land Raider Ares	阿瑞斯型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1500	沿原稿。
Land Raider Terminus Ultra	终极型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1500	沿1501专篇标题，1500原极限作别称。
Rynn’s Might	瑞恩之力号	暂定·官方待核	所给英文底稿	篇1500	沿核心瑞恩世界词根。
Tenebris smoke discharging unit	特涅布里斯烟雾发射器	暂定·官方待核	所给英文底稿	篇1500	英文Tenebris与掠食者Tenebrus不同，分别保留拼写。
Nightwatch class auto-surveyor	守夜人级自动探测仪	暂定·官方待核	所给英文底稿	篇1500	沿原稿名，修正设备种类。
Jaric Phoros	贾里克·福罗斯	暂定·官方待核	所给英文底稿	篇1502	沿现稿人物名。
Grissen	格里森	暂定·官方待核	所给英文底稿	篇1502	行星名。
Jerulas	杰拉鲁斯	暂定·官方待核	所给英文底稿	篇1502—1504	源文星球／铸造世界；不由Jerulas Station自动判断同一地点。
Simagus	西格玛斯	暂定·官方待核	所给英文底稿	篇1504	沿现稿工匠名。
Eurayalis Bane	欧瑞亚利斯灾星号	暂定·官方待核	所给英文底稿	篇1502	具名救赎者型战车。
Fire of Fenris	芬里斯之火号	暂定·官方待核	所给英文底稿	篇1502	具名战车。
Heart of Blood	鲜血之心号	暂定·官方待核	所给英文底稿	篇1502	具名战车。
Holy Avenger	神圣复仇者号	暂定·官方待核	所给英文底稿	篇1504	具名战车。
Land Raider Helios	赫利俄斯型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1505	区别Hyperios许珀里翁防空改型。
Land Raider Proteus	普罗透斯型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1506	沿原稿型号。
Land Raider Proteus Carrier	普罗透斯运输者型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1506	有前置突击跳板的运兵子型。
Land Raider Proteus Explorator	普罗透斯探索者型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1506	侦察子型。
Flame of Illyrium	伊利里亚姆之焰号	暂定·官方待核	所给英文底稿	篇1506	沿核心Illyrium地名统一。
Onogura	奥诺古拉号	暂定·官方待核	所给英文底稿	篇1506	具名战车。
Orlandra	奥兰德拉号	暂定·官方待核	所给英文底稿	篇1506	具名战车。
Simurgh Rex	西莫尔格之王号	暂定·官方待核	所给英文底稿	篇1506	具名战车。
Land Raider Prometheus	普罗米修斯型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1507	型号，区别1502具名救赎者型普罗米修斯号。
Angelis Imperator	天使统领号	暂定·官方待核	所给英文底稿	篇1507	沿原稿具名战车。
Land Raider Ares	阿瑞斯型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1508	沿原稿型号。
Murus	穆尔斯	暂定·官方待核	所给英文底稿	篇1508	围城地点。
Bish	比什	暂定·官方待核	所给英文底稿	篇1508	审讯教士。
The Tribunal	法庭	暂定·官方待核	所给英文底稿	篇1508	三名堕天使的自称。
Land Raider Solemnus Aggressor	庄严侵略者型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1509	沿原稿型号。
Land Raider Wrath of Mjalnar	米亚尔纳之怒型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1510	沿Mjalnar专名；原妙尔尼尔之怒。
Helfrost Cannon	霜狱加农炮	暂定·官方待核	所给英文底稿	篇1510	与霜狱毁灭炮共享Helfrost词根；完整武器未核官译。
Land Raider Achilles	阿喀琉斯型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1511	沿原稿型号。
Liber Armorum	《装甲之书》	暂定·官方待核	所给英文底稿	篇1511	沿原译书名。
Xan-Ebon	贤-恩波	暂定·官方待核	所给英文底稿	篇1511	沿现稿地名，待核。
Necris-Phobos Pattern Machine Spirit Genius Loci	夜寂—福波斯型“地域之灵”机魂	暂定·官方待核	所给英文底稿	篇1511	暂定型号；Phobos按车辆型号词根，不与护甲或天体混同。
Achilles-Alpha Pattern Land Raider	阿喀琉斯—阿尔法型兰德掠袭者	暂定·官方待核	所给英文底稿	篇1511	原型车型。
Sire of Methusa	梅图萨陛下号	暂定·官方待核	所给英文底稿	篇1511	沿现稿具名战车。
Land Raider Angel Infernus	炼狱天使型兰德掠袭者战车	暂定·官方待核	所给英文底稿	篇1512	沿原稿车型。
Mastodon Heavy Tank	乳齿象重型坦克	暂定·官方待核	所给英文底稿	篇1513	沿现稿。
Fellblade	残暴刃	暂定·官方待核	所给英文底稿	篇1514	沿现稿超重型坦克名。
Deathhammer	死锤	暂定·官方待核	所给英文底稿	篇1514	沿现稿型号，区别Doomhammer末日之锤。
Khatek	卡提克号	暂定·官方待核	所给英文底稿	篇1514	具名残暴刃。
Mori Drakka	莫瑞·德拉卡号	暂定·官方待核	所给英文底稿	篇1514	具名残暴刃。
Parabellum	帕拉贝鲁姆号	暂定·官方待核	所给英文底稿	篇1514	具名残暴刃。
Wrath of Calth	考斯之怒号	暂定·官方待核	所给英文底稿	篇1514	具名残暴刃。
Lux Imperator	帝皇之光号	暂定·官方待核	所给英文底稿	篇1515	原勒克斯统帅；按语义修订，具名影剑。
Angel of the Apocalypse	启示录天使号	暂定·官方待核	所给英文底稿	篇1515	具名影剑。
Duty’s Honour	职责荣耀号	暂定·官方待核	所给英文底稿	篇1515	具名影剑。
Titans’ Bane	泰坦之灾号	暂定·官方待核	所给英文底稿	篇1515	具名影剑。
Winter’s End	凛冬之终号	暂定·官方待核	所给英文底稿	篇1515	具名影剑。
Stormblade	风暴刃	暂定·官方待核	所给英文底稿	篇1516	沿现稿车型。
Hellion Missile	恶狼导弹	暂定·官方待核	所给英文底稿	篇1516	沿现稿武器；不套黑暗灵族Hellion单位官译。
Astraeus Super-heavy Tank	阿斯特赖俄斯超重型坦克	暂定·官方待核	所给英文底稿	篇1517	沿现稿。
Perun Cross Incident	佩伦十字事件	暂定·官方待核	所给英文底稿	篇1517	沿现稿。
